date,OpenInterest
2020-02-28,3456690623.0
2020-02-29,3025446039.0
2020-03-01,2998977064.0
2020-03-02,3068167682.0
2020-03-03,3033681379.0
2020-03-04,3002641299.0
2020-03-05,3306564005.0
2020-03-06,3398507405.0
2020-03-07,3739750601.0
2020-03-08,3741052249.0
2020-03-09,3416286332.0
2020-03-10,3285454760.0
2020-03-11,3178245183.0
2020-03-12,3237220098.0
2020-03-13,2145449007.0
2020-03-14,1778900882.0
2020-03-15,1769915501.0
2020-03-16,1583002385.0
2020-03-17,1558495424.0
2020-03-18,1570129065.0
2020-03-19,1629200336.0
2020-03-20,1613370365.0
2020-03-21,1501676962.0
2020-03-22,1655242193.0
2020-03-23,1691555846.0
2020-03-24,1557780683.0
2020-03-25,1551616760.0
2020-03-26,1615285033.0
2020-03-27,1627059982.0
2020-03-28,1647521940.0
2020-03-29,1732860529.0
2020-03-30,1764345556.0
2020-03-31,1706515188.0
2020-04-01,1723165635.0
2020-04-02,1732355436.0
2020-04-03,1641282762.0
2020-04-04,1696591510.0
2020-04-05,1730152925.0
2020-04-06,1731092433.0
2020-04-07,1866756259.0
2020-04-08,1843581518.0
2020-04-09,1857279945.0
2020-04-10,1906919487.0
2020-04-11,1915602783.0
2020-04-12,1995056527.0
2020-04-13,2014780143.0
2020-04-14,2044541620.0
2020-04-15,2052786433.0
2020-04-16,2176320355.0
2020-04-17,1949950474.0
2020-04-18,2060907195.0
2020-04-19,2119091307.0
2020-04-20,2085699001.0
2020-04-21,2172226082.0
2020-04-22,2248579936.0
2020-04-23,2274840236.0
2020-04-24,2112972444.0
2020-04-25,2094978210.0
2020-04-26,2139262218.0
2020-04-27,2207032082.0
2020-04-28,2229054442.0
2020-04-29,2288845041.0
2020-04-30,1797035875.0
2020-05-01,2357471930.0
2020-05-02,2397713939.0
2020-05-03,2479460481.0
2020-05-04,2547857459.0
2020-05-05,2518052501.0
2020-05-06,2540226467.0
2020-05-07,2694561675.0
2020-05-08,2820443740.0
2020-05-09,3030924250.0
2020-05-10,3163002841.0
2020-05-11,2571407109.0
2020-05-12,2536695475.0
2020-05-13,2641474739.0
2020-05-14,2858184829.0
2020-05-15,2800729790.0
2020-05-16,2766880990.0
2020-05-17,2754246125.0
2020-05-18,2916087694.0
2020-05-19,2948597438.0
2020-05-20,2907799752.0
2020-05-21,2973071965.0
2020-05-22,2881244463.0
2020-05-23,2937752778.0
2020-05-24,2906871285.0
2020-05-25,2999435592.0
2020-05-26,3001802954.0
2020-05-27,3002214736.0
2020-05-28,3060012164.0
2020-05-29,3081802431.0
2020-05-30,3101227072.0
2020-05-31,3183029597.0
2020-06-01,3126350865.0
2020-06-02,3499977171.0
2020-06-03,3009428223.0
2020-06-04,3002030770.0
2020-06-05,3566376928.0
2020-06-06,3561991136.0
2020-06-07,3547451483.0
2020-06-08,3576655625.0
2020-06-09,3633699187.0
2020-06-10,3641289779.0
2020-06-11,3697121627.0
2020-06-12,3602758314.0
2020-06-13,3597298321.0
2020-06-14,3563858043.0
2020-06-15,3601576348.0
2020-06-16,3668501784.0
2020-06-17,3687323678.0
2020-06-18,3702169130.0
2020-06-19,3692517507.0
2020-06-20,3633269321.0
2020-06-21,3654375957.0
2020-06-22,3643814905.0
2020-06-23,3853128575.0
2020-06-24,3919661688.0
2020-06-25,3835653605.0
2020-06-26,3653490277.0
2020-06-27,3450715210.0
2020-06-28,3536127872.0
2020-06-29,3504150601.0
2020-06-30,3495150209.0
2020-07-01,3482235898.0
2020-07-02,3553562587.0
2020-07-03,3581177686.0
2020-07-04,3515302932.0
2020-07-05,3458713551.0
2020-07-06,3497453947.0
2020-07-07,3745849869.0
2020-07-08,3700485532.0
2020-07-09,3888486934.0
2020-07-10,3786330190.0
2020-07-11,3656588497.0
2020-07-12,3650656075.0
2020-07-13,3651603034.0
2020-07-14,3779451648.0
2020-07-15,3785137836.0
2020-07-16,3882522676.0
2020-07-17,3966791393.0
2020-07-18,3907644483.0
2020-07-19,3863624109.0
2020-07-20,3938330798.0
2020-07-21,3883225457.0
2020-07-22,4252244271.0
2020-07-23,4357139698.0
2020-07-24,4445413949.0
2020-07-25,4367230436.0
2020-07-26,4610273716.0
2020-07-27,4587610590.0
2020-07-28,4826519815.0
2020-07-29,4960547047.0
2020-07-30,5113980176.0
2020-07-31,5147524111.0
2020-08-01,5330091077.0
2020-08-02,5596307597.0
2020-08-03,4947971760.0
2020-08-04,4960573472.0
2020-08-05,4991966081.0
2020-08-06,5142054898.0
2020-08-07,5300190529.0
2020-08-08,5189544547.0
2020-08-09,5102999488.0
2020-08-10,5186238321.0
2020-08-11,5341402763.0
2020-08-12,5280263605.0
2020-08-13,5131857988.0
2020-08-14,5211745048.0
2020-08-15,5227897425.0
2020-08-16,5391390703.0
2020-08-17,5425166479.0
2020-08-18,5690494207.0
2020-08-19,5511532950.0
2020-08-20,5259341961.0
2020-08-21,5158908644.0
2020-08-22,5153686109.0
2020-08-23,5019441950.0
2020-08-24,5025717981.0
2020-08-25,5090568762.0
2020-08-26,5013383466.0
2020-08-27,4797117862.0
2020-08-28,4812921276.0
2020-08-29,4719126936.0
2020-08-30,4748780035.0
2020-08-31,4848902922.0
2020-09-01,4875182714.0
2020-09-02,5141314627.0
2020-09-03,4751202702.0
2020-09-04,4049719056.0
2020-09-05,3686923369.0
2020-09-06,3639161272.0
2020-09-07,3674532270.0
2020-09-08,3693276136.0
2020-09-09,3701928484.0
2020-09-10,3656173486.0
2020-09-11,3719769220.0
2020-09-12,3774558484.0
2020-09-13,3792655101.0
2020-09-14,3816568891.0
2020-09-15,3909142663.0
2020-09-16,3928834408.0
2020-09-17,4107098341.0
2020-09-18,4078822650.0
2020-09-19,4036409597.0
2020-09-20,4125893751.0
2020-09-21,4061622095.0
2020-09-22,3889464800.0
2020-09-23,3837322779.0
2020-09-24,3807264068.0
2020-09-25,3774587998.0
2020-09-26,3611077518.0
2020-09-27,3709422680.0
2020-09-28,3715069201.0
2020-09-29,3656308782.0
2020-09-30,3727217229.0
2020-10-01,3629825106.0
2020-10-02,3627088946.0
2020-10-03,3572194495.0
2020-10-04,3583142284.0
2020-10-05,3626187542.0
2020-10-06,3741242328.0
2020-10-07,3746851585.0
2020-10-08,3769121657.0
2020-10-09,3920193475.0
2020-10-10,4077129770.0
2020-10-11,4102420864.0
2020-10-12,4130114397.0
2020-10-13,4173838165.0
2020-10-14,4150994519.0
2020-10-15,4086665750.0
2020-10-16,4165092735.0
2020-10-17,4033680314.0
2020-10-18,3970189339.0
2020-10-19,4073547399.0
2020-10-20,4329624532.0
2020-10-21,4615723735.0
2020-10-22,4818868998.0
2020-10-23,4999474780.0
2020-10-24,5021660302.0
2020-10-25,5222050865.0
2020-10-26,5126490907.0
2020-10-27,5113467817.0
2020-10-28,5348166101.0
2020-10-29,5045373239.0
2020-10-30,5202073581.0
2020-10-31,5222332395.0
2020-11-01,5469557470.0
2020-11-02,5408116736.0
2020-11-03,5176412371.0
2020-11-04,5357474103.0
2020-11-05,5346309735.0
2020-11-06,5594761497.0
2020-11-07,5671325737.0
2020-11-08,5351586279.0
2020-11-09,5583532863.0
2020-11-10,5516250152.0
2020-11-11,5488937475.0
2020-11-12,5821770456.0
2020-11-13,6093270807.0
2020-11-14,5967343467.0
2020-11-15,5819251310.0
2020-11-16,5802085189.0
2020-11-17,6229127058.0
2020-11-18,6366534830.0
2020-11-19,6323289014.0
2020-11-20,6526794917.0
2020-11-21,6862854279.0
2020-11-22,6936910322.0
2020-11-23,6972631590.0
2020-11-24,7135659643.0
2020-11-25,7251511265.0
2020-11-26,7274727663.0
2020-11-27,6072535869.0
2020-11-28,6079654906.0
2020-11-29,6219210106.0
2020-11-30,6406637604.0
2020-12-01,6967580850.0
2020-12-02,7197068301.0
2020-12-03,6740798028.0
2020-12-04,7122031824.0
2020-12-05,6890528345.0
2020-12-06,6922924126.0
2020-12-07,6929169245.0
2020-12-08,7087753955.0
2020-12-09,7162725619.0
2020-12-10,6907325919.0
2020-12-11,6868365344.0
2020-12-12,6817861185.0
2020-12-13,6795932850.0
2020-12-14,7162245829.0
2020-12-15,7260669491.0
2020-12-16,7457964056.0
2020-12-17,7942166932.0
2020-12-18,8284880884.0
2020-12-19,8418909391.0
2020-12-20,8821281075.0
2020-12-21,8803378636.0
2020-12-22,8464485570.0
2020-12-23,8662638557.0
2020-12-24,8570622621.0
2020-12-25,8129354741.0
2020-12-26,8499638353.0
2020-12-27,9115202183.0
2020-12-28,9341894995.0
2020-12-29,9406874262.0
2020-12-30,9022443847.0
2020-12-31,9399562068.0
2021-01-01,9503471563.0
2021-01-02,9656689734.0
2021-01-03,10486279129.0
2021-01-04,10722291654.0
2021-01-05,10043527689.0
2021-01-06,9998091127.0
2021-01-07,11028537894.0
2021-01-08,11997081276.0
2021-01-09,12258667979.0
2021-01-10,12517632559.0
2021-01-11,12736476997.0
2021-01-12,11097298664.0
2021-01-13,11650644979.0
2021-01-14,11633377587.0
2021-01-15,13149309291.0
2021-01-16,12579954802.0
2021-01-17,12518812692.0
2021-01-18,12095275455.0
2021-01-19,12446986970.0
2021-01-20,12664433561.0
2021-01-21,11894544595.0
2021-01-22,10900415694.0
2021-01-23,10687991892.0
2021-01-24,10385454082.0
2021-01-25,10508420031.0
2021-01-26,10673722074.0
2021-01-27,10569571398.0
2021-01-28,10232138958.0
2021-01-29,10853555514.0
2021-01-30,11073229075.0
2021-01-31,11002524861.0
2021-02-01,10784260073.0
2021-02-02,10689589744.0
2021-02-03,11339488098.0
2021-02-04,11765119738.0
2021-02-05,11883279638.0
2021-02-06,12543997292.0
2021-02-07,13464317859.0
2021-02-08,13206321067.0
2021-02-09,15347069871.0
2021-02-10,15474576203.0
2021-02-11,15395342700.0
2021-02-12,16428056328.0
2021-02-13,16267563140.0
2021-02-14,16334839047.0
2021-02-15,17253021611.0
2021-02-16,16701867253.0
2021-02-17,17305354365.0
2021-02-18,18736450909.0
2021-02-19,18500916747.0
2021-02-20,19111152032.0
2021-02-21,18436907769.0
2021-02-22,19194260305.0
2021-02-23,17586988078.0
2021-02-24,16228099272.0
2021-02-25,16185949405.0
2021-02-26,15786902589.0
2021-02-27,14955351275.0
2021-02-28,15137678502.0
2021-03-01,15067703758.0
2021-03-02,16031220659.0
2021-03-03,15785953449.0
2021-03-04,16120951046.0
2021-03-05,15662488908.0
2021-03-06,15253199900.0
2021-03-07,15194689253.0
2021-03-08,16239915200.0
2021-03-09,16773163080.0
2021-03-10,18644728307.0
2021-03-11,19848086056.0
2021-03-12,20178873962.0
2021-03-13,20652831267.0
2021-03-14,22533323437.0
2021-03-15,22719695492.0
2021-03-16,20887139451.0
2021-03-17,19994740169.0
2021-03-18,20127722980.0
2021-03-19,21399677938.0
2021-03-20,20978438072.0
2021-03-21,21568201818.0
2021-03-22,21314370000.0
2021-03-23,21225114673.0
2021-03-24,20742551686.0
2021-03-25,20589330679.0
2021-03-26,19288358307.0
2021-03-27,18653474291.0
2021-03-28,19032996998.0
2021-03-29,19458874792.0
2021-03-30,21003032814.0
2021-03-31,22276918556.0
2021-04-01,22265469412.0
2021-04-02,22466127184.0
2021-04-03,23189181199.0
2021-04-04,23407388086.0
2021-04-05,22890260453.0
2021-04-06,23359059871.0
2021-04-07,23329815944.0
2021-04-08,22926627111.0
2021-04-09,22463509183.0
2021-04-10,22647794061.0
2021-04-11,24460538164.0
2021-04-12,24385930100.0
2021-04-13,25055110233.0
2021-04-14,27292253795.0
2021-04-15,26614325102.0
2021-04-16,26404691388.0
2021-04-17,25571749415.0
2021-04-18,25392807129.0
2021-04-19,21945165237.0
2021-04-20,21077948062.0
2021-04-21,20895374270.0
2021-04-22,20186326923.0
2021-04-23,19569616573.0
2021-04-24,18838979670.0
2021-04-25,18564943653.0
2021-04-26,18524313671.0
2021-04-27,18456431006.0
2021-04-28,18733442969.0
2021-04-29,18474949038.0
2021-04-30,18554317016.0
2021-05-01,19741002890.0
2021-05-02,19745329473.0
2021-05-03,19752387820.0
2021-05-04,19766837489.0
2021-05-05,19179945958.0
2021-05-06,19500739148.0
2021-05-07,19494307355.0
2021-05-08,19504885362.0
2021-05-09,20005568515.0
2021-05-10,19874195506.0
2021-05-11,20070319874.0
2021-05-12,20156575067.0
2021-05-14,18525544003.0
2021-05-15,18356143200.0
2021-05-16,18484046320.0
2021-05-17,18239427125.0
2021-05-18,17362895086.0
2021-05-19,17303961131.0
2021-05-20,12384874879.0
2021-05-21,12660282951.0
2021-05-22,12083541558.0
2021-05-23,11791803231.0
2021-05-24,10932690915.0
2021-05-25,11490444904.0
2021-05-26,11428932414.0
2021-05-27,11839242407.0
2021-05-28,11612782004.0
2021-05-29,11287687931.0
2021-05-30,10989788503.0
2021-05-31,11081870581.0
2021-06-01,11596292381.0
2021-06-02,11270349426.0
2021-06-03,11875392005.0
2021-06-04,11830311735.0
2021-06-05,11629144593.0
2021-06-06,11340498381.0
2021-06-07,11525177295.0
2021-06-08,11668699103.0
2021-06-09,11046183088.0
2021-06-10,12146130487.0
2021-06-11,11822185483.0
2021-06-12,12217584038.0
2021-06-13,11546172993.0
2021-06-14,12159433662.0
2021-06-15,13383513862.0
2021-06-16,13301726311.0
2021-06-17,13034044627.0
2021-06-18,13296563875.0
2021-06-19,12608256998.0
2021-06-20,12744317958.0
2021-06-21,12279506754.0
2021-06-22,11213964325.0
2021-06-23,11181706147.0
2021-06-24,11318674735.0
2021-06-25,11390117180.0
2021-06-26,10466864901.0
2021-06-27,10668403788.0
2021-06-28,11312758840.0
2021-06-29,11123108758.0
2021-06-30,11953593113.0
2021-07-01,11292577544.0
2021-07-02,11139366358.0
2021-07-03,11329946605.0
2021-07-04,11521145347.0
2021-07-05,11714237556.0
2021-07-06,11348725345.0
2021-07-07,11461031757.0
2021-07-08,11449207169.0
2021-07-09,11533862583.0
2021-07-10,11539619188.0
2021-07-11,11486245284.0
2021-07-12,11765802299.0
2021-07-13,11606660885.0
2021-07-14,11515794643.0
2021-07-15,11456854088.0
2021-07-16,11786550772.0
2021-07-17,11525824116.0
2021-07-18,11695372572.0
2021-07-19,11747092501.0
2021-07-20,12157689130.0
2021-07-21,11843338189.0
2021-07-22,12077902526.0
2021-07-23,12076258789.0
2021-07-24,12781946842.0
2021-07-25,13210208762.0
2021-07-26,13840209914.0
2021-07-27,12839437869.0
2021-07-28,13369004332.0
2021-07-29,13644296872.0
2021-07-30,13639645538.0
2021-07-31,14165509872.0
2021-08-01,13945707091.0
2021-08-02,13087088217.0
2021-08-03,12966271890.0
2021-08-04,13009228691.0
2021-08-05,13210667489.0
2021-08-06,13118232722.0
2021-08-07,14203715969.0
2021-08-08,14903722123.0
2021-08-09,14480647681.0
2021-08-10,15496294155.0
2021-08-11,15510660689.0
2021-08-12,15558856865.0
2021-08-13,15561025700.0
2021-08-14,16427663508.0
2021-08-15,16200454953.0
2021-08-16,15962936944.0
2021-08-17,16160273122.0
2021-08-18,15868748076.0
2021-08-19,15461710008.0
2021-08-20,15909167697.0
2021-08-21,17020483952.0
2021-08-22,16876384528.0
2021-08-23,16927012774.0
2021-08-24,17338823060.0
2021-08-25,17329825067.0
2021-08-26,17289982138.0
2021-08-27,16720424108.0
2021-08-28,16759385235.0
2021-08-29,16863342044.0
2021-08-30,16772580141.0
2021-08-31,16618588745.0
2021-09-01,16776489445.0
2021-09-03,17720463602.0
2021-09-04,17771514049.0
2021-09-05,17424463023.0
2021-09-06,18892578761.0
2021-09-07,19394390776.0
2021-09-08,14983338472.0
2021-09-09,14658326842.0
2021-09-10,14660239794.0
2021-09-11,14535246647.0
2021-09-12,14395938723.0
2021-09-13,14522340448.0
2021-09-14,14420811182.0
2021-09-15,14842847396.0
2021-09-16,15681922077.0
2021-09-17,15243167599.0
2021-09-18,15387960574.0
2021-09-19,15809588921.0
2021-09-20,15662583911.0
2021-09-21,14468171105.0
2021-09-22,13433033142.0
2021-09-23,14011234354.0
2021-09-24,14098360026.0
2021-09-25,13228803652.0
2021-09-26,13308804890.0
2021-09-27,13397505823.0
2021-09-28,13154053211.0
2021-09-29,13190904310.0
2021-09-30,13228839233.0
2021-10-01,13595424238.0
2021-10-02,15016062444.0
2021-10-03,15227747289.0
2021-10-04,15429384430.0
2021-10-05,15904816221.0
2021-10-06,17117256247.0
2021-10-07,17953742887.0
2021-10-08,18238647592.0
2021-10-09,18263702336.0
2021-10-10,18721266734.0
2021-10-11,19106918269.0
2021-10-12,20333818843.0
2021-10-13,19917196755.0
2021-10-14,20393238205.0
2021-10-15,20594668768.0
2021-10-16,22412982107.0
2021-10-17,22628618203.0
2021-10-18,22918912471.0
2021-10-19,22995294668.0
2021-10-20,24473796378.0
2021-10-21,26004327630.0
2021-10-22,25759490576.0
2021-10-23,25404355225.0
2021-10-24,25369849175.0
2021-10-25,25397781973.0
2021-10-26,26395904923.0
2021-10-27,26202885364.0
2021-10-28,24232740265.0
2021-10-29,23707459987.0
2021-10-30,24281198273.0
2021-10-31,24130781983.0
2021-11-01,24668923338.0
2021-11-03,25555999776.0
2021-11-04,24867652124.0
2021-11-05,24422274378.0
2021-11-06,24224642234.0
2021-11-07,24322212425.0
2021-11-09,27376339877.0
2021-11-10,27289682015.0
2021-11-11,28082723514.0
2021-11-12,25247472336.0
2021-11-13,24961579046.0
2021-11-14,25054846059.0
2021-11-15,25690648418.0
2021-11-16,25907534182.0
2021-11-17,24196669685.0
2021-11-18,24218267991.0
2021-11-19,23606726830.0
2021-11-20,23526736818.0
2021-11-21,23818913444.0
2021-11-22,23470462610.0
2021-11-23,23156917892.0
2021-11-25,23324852171.0
2021-11-26,24311495729.0
2021-11-27,23286767449.0
2021-11-28,22932182086.0
2021-11-29,22780355976.0
2021-11-30,23408178084.0
2021-12-01,23474127129.0
2021-12-02,23463596918.0
2021-12-03,22758480669.0
2021-12-04,23045999700.0
2021-12-05,16923590756.0
2021-12-06,16468780424.0
2021-12-07,16705901165.0
2021-12-08,17761524718.0
2021-12-09,17240022478.0
2021-12-10,17013843714.0
2021-12-11,16745725296.0
2021-12-12,16889345594.0
2021-12-13,17691100093.0
2021-12-14,17122074662.0
2021-12-15,16956229176.0
2021-12-16,16984420253.0
2021-12-17,17524889798.0
2021-12-18,17296244770.0
2021-12-19,17370935400.0
2021-12-20,17479471949.0
2021-12-21,17939682343.0
2021-12-22,19285215208.0
2021-12-23,19033854337.0
2021-12-24,19824915672.0
2021-12-25,19846251386.0
2021-12-26,19885623023.0
2021-12-27,19912609062.0
2021-12-28,20032412464.0
2021-12-29,19114548611.0
2021-12-30,18644801350.0
2021-12-31,18409976121.0
2022-01-01,18007759820.0
2022-01-02,18178543369.0
2022-01-03,18107213512.0
2022-01-04,18497401169.0
2022-01-05,18503495690.0
2022-01-06,17277462000.0
2022-01-07,17452892483.0
2022-01-08,16673034705.0
2022-01-09,16642028683.0
2022-01-10,16720501251.0
2022-01-11,16602487133.0
2022-01-12,16905230586.0
2022-01-13,17216095176.0
2022-01-14,16905964712.0
2022-01-15,16935324417.0
2022-01-17,16890388795.0
2022-01-18,16872342732.0
2022-01-19,16908186581.0
2022-01-20,17106814760.0
2022-01-21,16812843563.0
2022-01-22,14643872009.0
2022-01-23,14224326792.0
2022-01-24,14868012797.0
2022-01-25,14800968332.0
2022-01-26,15040577007.0
2022-01-27,14741320603.0
2022-01-28,14680210231.0
2022-01-29,15114803573.0
2022-01-30,15394930188.0
2022-01-31,15247079201.0
2022-02-01,16018704390.0
2022-02-02,15688330963.0
2022-02-03,14858443089.0
2022-02-04,15353078162.0
2022-02-05,16516149041.0
2022-02-06,16502611194.0
2022-02-07,17048483214.0
2022-02-08,17507039418.0
2022-02-09,17220109172.0
2022-02-10,17031178757.0
2022-02-11,16761584822.0
2022-02-12,16263828513.0
2022-02-13,16429460502.0
2022-02-14,16488433913.0
2022-02-15,16821368846.0
2022-02-16,17730287526.0
2022-02-17,17393449560.0
2022-02-18,16526870472.0
2022-02-19,16089983292.0
2022-02-20,16272236210.0
2022-02-21,15676683338.0
2022-02-22,15257608346.0
2022-02-23,15673145070.0
2022-02-24,15454363832.0
2022-02-25,15177232823.0
2022-02-26,15904347992.0
2022-02-27,15792431094.0
2022-02-28,15319716975.0
2022-03-01,16714955399.0
2022-03-02,17464283297.0
2022-03-03,17408843110.0
2022-03-04,17167319164.0
2022-03-05,15873545270.0
2022-03-06,16082705985.0
2022-03-07,15714195569.0
2022-03-08,15326147725.0
2022-03-09,15469020475.0
2022-03-10,16995401802.0
2022-03-11,15966255883.0
2022-03-12,15971722848.0
2022-03-13,16280133465.0
2022-03-14,16460812750.0
2022-03-15,16680250828.0
2022-03-16,16539957532.0
2022-03-17,17061836792.0
2022-03-18,16813650512.0
2022-03-19,17658799568.0
2022-03-20,18109704315.0
2022-03-21,17690007405.0
2022-03-22,17640482273.0
2022-03-23,18134863202.0
2022-03-24,18418440502.0
2022-03-25,19443645985.0
2022-03-26,19012828967.0
2022-03-27,19267222258.0
2022-03-28,20057890664.0
2022-03-29,19829048200.0
2022-03-30,20998441799.0
2022-03-31,19653421109.0
2022-04-01,18787711611.0
2022-04-02,18914906145.0
2022-04-03,18823304684.0
2022-04-04,19367233160.0
2022-04-05,19477704872.0
2022-04-06,19540773597.0
2022-04-07,19209107076.0
2022-04-08,20917753797.0
2022-04-09,19719048500.0
2022-04-10,19779107201.0
2022-04-11,19594303490.0
2022-04-12,18151345476.0
2022-04-13,18298872240.0
2022-04-14,18283479836.0
2022-04-15,17680582173.0
2022-04-16,17412965812.0
2022-04-17,17508900761.0
2022-04-18,17618808450.0
